Jurarus,Hong krizalid,0,mwc,f,S,m,1:3,0,2,2,13-03-2016
Ami ex,Morgiana EX2,1,mwc,A,B,m,1.8:1,0,2,2,13-03-2016
Edonokiba,Killerbee,1,mwc,A,B,m,1:5.7,0,2,2,13-03-2016
Saint-of-silver,Lucifer EX,1,mwc,f,A,m,7.8:1,0,2,2,13-03-2016
Chichi,Ex apollo,1,mwc,A,B,m,1:4.1,0,2,2,13-03-2016
Metal sonic mk3,Nightmare gamera,0,mwc,A,X,m,1:1,0,2,2,13-03-2016
Brunestud arcueid,Proofed up matt,0,mwc,A,B,m,1.5:1,0,2,2,13-03-2016
Kyoko_typey,Miko,0,mwc,t,S,m,2.7:1,0,2,2,13-03-2016
Sasuke,Another suwako,1,mwc,A,B,m,2.1:1,0,2,2,13-03-2016
Sparkster,Magikarp,0,mwc,A,S,m,2.3:1,0,2,2,13-03-2016
Rebecca,Underdog,0,mwc,A,B,m,1.7:1,0,2,2,13-03-2016
A-minagi,Nucrear cirno EX,0,mwc,A,S,m,2.6:1,0,2,2,13-03-2016
Demiurgos,Mech zangief,1,mwc,A,S,m,1:3.8,0,2,2,13-03-2016
Yashiro nanakase EX3,Existence-less,1,mwc,t,S,m,1:3.3,0,2,2,13-03-2016
Mike haggar EX3,Kyoso(n-cube ai),1,mwc,A,A,m,1:12.2,0,2,2,13-03-2016
Blue suede goo,Nega scott,1,mwc,A,B,m,1:1.5,0,2,2,13-03-2016
Alexey zalazof,Mr_shihan,1,mwc,A,A,m,1:2.2,0,2,2,13-03-2016
Waddledee,Diyaa man,1,mwc,t,B,m,1:3.9,0,2,2,13-03-2016
Knyacki,Grievous,0,mwc,A,B,m,7.2:1,0,2,2,13-03-2016
Wiler,Club ace,0,mwc,A,A,m,2.8:1,0,2,2,13-03-2016
Mobo,Brazer,0,mwc,t,A,m,1.3:1,0,2,2,13-03-2016
Andy,Orc,1,mwc,A,A,m,1:2.2,0,2,2,13-03-2016
Kung fu man neo,Ju do man,0,mwc,A,S,m,30:1,0,2,2,13-03-2016
Noel vermillion,Dk,1,mwc,A,A,m,1:1,0,2,2,13-03-2016
Subaru mikage,Masamichi oyama,1,mwc,A,S,m,3.9:1,0,2,2,13-03-2016
Satuzinki,Natsu EX2,1,mwc,f,S,m,1:1,0,2,2,13-03-2016
Shimo EX3,Remi,1,mwc,A,A,m,1.1:1,0,2,2,13-03-2016
Roll,Koizumi itsuki,1,mwc,A,B,m,1:1.8,0,2,2,13-03-2016
Kyoushirou senryou,Virtus,1,mwc,A,S,m,1:4.4,0,2,2,13-03-2016
Rain mk2,Lightning bd,1,mwc,t,A,m,1:4.4,0,2,2,13-03-2016
Baki-hanma ex,Well,0,mwc,A,A,m,4.8:1,0,2,2,13-03-2016
Perfect storm x,Buroli,1,mwc,t,S,m,1:8.5,0,2,2,13-03-2016
Sarashina EX,Magic dunker EX,1,mwc,A,S,m,1.1:1,0,2,2,13-03-2016
Vegeta,Captain ameriken,0,mwc,A,B,m,12:1,0,2,2,13-03-2016
Ingrid,Hiei,0,mwc,A,B,m,2.7:1,0,2,2,13-03-2016
Bass,Evabeatrice,1,mwc,A,B,m,1:4,0,2,2,13-03-2016
Iceclimber,Kintaro,0,mwc,A,B,m,1:1.6,0,2,2,13-03-2016
Ryoko(mugen),Cyclops_cota,0,mwc,A,S,m,1.3:1,0,2,2,13-03-2016
Wolfgang Krauser,Kenshi ex,0,mwc,A,B,m,1.9:1,0,2,2,13-03-2016
Ssj5 goku,Shen EX2,1,mwc,A,S,m,1.4:1,0,2,2,13-03-2016
Hotaride,Drdoom,0,mwc,t,S,m,2.2:1,0,2,2,13-03-2016
Mrkarate,Masaki anzu EX3,0,mwc,A,A,m,1.1:1,0,2,2,13-03-2016
Beauty queen etna,Zero hotaru EX3,1,mwc,f,S,m,1:1.2,0,2,2,13-03-2016
Benimaru,Caramelman no.2,1,mwc,A,B,m,1:16.5,0,2,2,13-03-2016
Kanako yasaka,Kirara,1,mwc,A,S,m,1:3.5,0,2,2,13-03-2016
Scharlachrot,Kid gohan EX3,0,mwc,A,S,m,1:7.8,0,2,2,13-03-2016
Lei-lei,Belmont trusdale,0,mwc,f,B,m,1.4:1,0,2,2,13-03-2016
Houjuu nue,Chameleon DS,0,mwc,A,A,m,1:2.1,0,2,2,13-03-2016
Eva-02 EX3,The tick,1,mwc,A,B,m,1:2,0,2,2,13-03-2016
Gill hero,Rodimus prime,0,mwc,A,A,m,8.3:1,0,2,2,13-03-2016
Red arremer,Storm_cota,1,mwc,A,S,m,1:3.3,0,2,2,13-03-2016
Pingu,The gandhara,1,mwc,A,B,t,1:1.2,0,2,2,13-03-2016
Renamon,Rikard,0,mwc,A,B,t,2.4:1,0,2,2,13-03-2016
Rorschach,Shadow kouma,0,mwc,A,B,t,2.2:1,0,2,2,13-03-2016
Dio di musca,Giant jackson,0,mwc,A,B,t,2.1:1,0,2,2,13-03-2016
Righteous ken,Earthworm jim,1,mwc,A,B,t,1:3.2,0,2,2,13-03-2016
Roll,Kenshin,1,mwc,A,B,t,1:1.3,0,2,2,13-03-2016
Genteki dan,Captain ginyu,0,mwc,A,B,t,2.1:1,0,2,2,13-03-2016
Athena asamiya EX3,Thin nen,1,mwc,A,B,t,1:2.3,0,2,2,13-03-2016
The gandhara,Renamon,0,mwc,A,B,t,1:1.6,0,2,2,13-03-2016
Rorschach,Dio di musca,0,mwc,A,B,t,3.9:1,0,2,2,13-03-2016
Earthworm jim,Kenshin,1,mwc,A,B,t,1:3.2,0,2,2,13-03-2016
Genteki dan,Thin nen,0,mwc,t,B,t,2.7:1,0,2,2,13-03-2016
The gandhara,Rorschach,0,mwc,A,B,t,2.7:1,0,2,2,13-03-2016
Kenshin,Genteki dan,0,mwc,A,B,t,1:3.5,0,2,2,13-03-2016
The gandhara,Kenshin,0,mwc,t,B,t,1:1.9,0,2,2,13-03-2016
Yueng soi leng,Lucifer EX,0,mwc,A,A,m,1:4.3,0,2,2,13-03-2016
Dink smallwood,S.o.g,1,mwc,A,S,m,1:10.2,0,2,2,13-03-2016
Sailor jupiter EX,Kira izuru,0,mwc,A,B,m,7.1:1,0,2,2,13-03-2016
Alyssa ex,Orochi-ev,1,mwc,A,S,m,1:1.8,0,2,2,13-03-2016
Donatello,Riot,1,mwc,A,B,m,1:7.2,0,2,2,13-03-2016
Demitri maximoff,Juda-(nericya),0,mwc,t,A,m,3:1,0,2,2,13-03-2016
Shotoborg mk. ii,Vebel,1,mwc,A,S,m,1:16.9,0,2,2,13-03-2016
Reminya,Birdie,0,mwc,t,B,m,3.7:1,0,2,2,13-03-2016
Agrail,(sman),1,mwc,A,B,m,1:1.6,0,2,2,13-03-2016
Sissy,Akashima,1,mwc,A,A,m,1:2.4,0,2,2,13-03-2016
Ange EX3,Hayate EX,0,mwc,t,S,m,1.1:1,0,2,2,13-03-2016
Ssfiix' rainbow,Super sayajin 4,0,mwc,f,A,m,1:6.4,0,2,2,13-03-2016
Gliformoth EX3,Yoshiyuki takagi,1,mwc,A,S,m,1:1.5,0,2,2,13-03-2016
Curly brace,Ichi,0,mwc,A,B,m,24.6:1,0,2,2,13-03-2016
Guevara,Kotoe,1,mwc,A,A,m,1:1.7,0,2,2,13-03-2016
Uesugi kensin EX G,F_gills,0,mwc,t,S,m,2.8:1,0,2,2,13-03-2016
Omega red mvc2,Leone abbacchio ex,0,mwc,A,S,m,16.9:1,0,2,2,13-03-2016
Torao onigawara,Dio di musca,1,mwc,t,B,m,1:8.7,0,2,2,13-03-2016
Yukkuri,Scharlachrot,0,mwc,A,S,m,8.6:1,0,2,2,13-03-2016
Rei ayanami,Bellyache,1,mwc,A,B,m,1:1.5,0,2,2,13-03-2016
Ignis,Thwomp,1,mwc,A,S,m,1.2:1,0,2,2,13-03-2016
Elque,Lady deathstrike,0,mwc,A,B,m,4.2:1,0,2,2,13-03-2016
Leon c,Vile EX3,1,mwc,t,A,m,1:1.1,0,2,2,13-03-2016
Ken MVC3,Charlie EX3,0,mwc,A,A,m,3.1:1,0,2,2,13-03-2016
Don,Z gundam,0,mwc,A,A,m,1.2:1,0,2,2,13-03-2016
Zou,Dark Slayer,1,mwc,A,S,m,9.6:1,0,2,2,13-03-2016
Jyashinsai,Spera,1,mwc,A,S,m,1:4.8,0,2,2,13-03-2016
Donaiya,Narukana,1,mwc,A,S,m,1:4,0,2,2,13-03-2016
Sasquatch,Sakura kinomoto,1,mwc,A,S,m,1:3.2,0,2,2,13-03-2016
Kurorim,Hiei EX,0,mwc,A,B,m,2.3:1,0,2,2,13-03-2016
Goodman,Hyouken,1,mwc,t,S,m,1:1.5,0,2,2,13-03-2016
Ranma +,Lf2 - henry,1,mwc,A,B,m,3.1:1,0,2,2,13-03-2016
Gen sfa,Bang EX2,0,mwc,A,B,m,2:1,0,2,2,13-03-2016
Axl,Haizilyo,1,mwc,A,S,m,1:3.5,0,2,2,13-03-2016
Amingo MVC2,Jazu,1,mwc,A,S,m,1:6.7,0,2,2,13-03-2016
Mysterious budo,Real zeroko,1,mwc,A,S,m,1:6.8,0,2,2,13-03-2016
Batman Normal,Cody_a,0,mwc,A,B,m,37.3:1,0,2,2,13-03-2016
Dragon EX2,Nanaya-kamen,0,mwc,A,B,m,1:1.1,0,2,2,13-03-2016
Cc iron clara,Tao,1,mwc,t,B,m,1:7.3,0,2,2,13-03-2016
Kung fu man neo,Kusaregedo EX,0,mwc,A,S,m,11.6:1,0,2,2,13-03-2016
Beatrice,Zero hotaru EX3,1,mwc,A,S,m,1:1,0,2,2,13-03-2016
Chichi,Iroha,1,mwc,t,B,m,1:4.4,0,2,2,13-03-2016
Assiette,Ss6 renfa,1,mwc,A,S,m,6.4:1,0,2,2,13-03-2016
Dante 4,Mongul,1,mwc,A,A,m,1:2.5,0,2,2,13-03-2016
Gallon EX2,Armgon,0,mwc,f,S,m,1:1.4,0,2,2,13-03-2016
Rain mk2,Axel,1,mwc,A,A,m,1:4.9,0,2,2,13-03-2016
Bloodia,Shin marie,1,mwc,f,S,m,2.4:1,0,2,2,13-03-2016
Mech-hisui EX,Rei-kugo,1,mwc,A,A,m,1.3:1,0,2,2,13-03-2016
Stake,Theskiver,1,mwc,A,S,m,1.1:1,0,2,2,13-03-2016
Gohan zeta,Richard myer,1,mwc,A,B,m,1:6.1,0,2,2,13-03-2016
Pokita,Venom MMV,1,mwc,t,A,m,1:1.2,0,2,2,13-03-2016
Luke skywalker,Haohmaru EX,0,mwc,A,A,m,4.9:1,0,2,2,13-03-2016
Starscream,Daiyousei EX,1,mwc,A,B,m,1:95.7,0,2,2,13-03-2016
Metal mario,Ranma +,1,mwc,A,B,m,1:2.4,0,2,2,13-03-2016
Bonta-kun,Mini zeroko,1,mwc,A,B,m,1:41.1,0,2,2,13-03-2016
Imr-765-s_kisaragi,Ingrid EX2,0,mwc,A,A,m,2.9:1,0,2,2,13-03-2016
Cody_a,Robo,1,mwc,t,B,m,1:74.9,0,2,2,13-03-2016
Another suwako,Ruckus,1,mwc,A,B,m,1:3.4,0,2,2,13-03-2016
Curly brace EX3,Skapokan,1,mwc,A,A,m,1:18.5,0,2,2,13-03-2016
Byakuren hijiri,Haruhi suzumiya,0,mwc,A,S,m,2.6:1,0,2,2,13-03-2016
Sailor moon,Super vegeta ai-barbatos,1,mwc,A,B,m,1:2.1,0,2,2,13-03-2016
Ironhide,Voltz,1,mwc,A,B,m,1:16.6,0,2,2,13-03-2016
Wonder woman,Catwoman EX,1,mwc,A,B,m,1:6.8,0,2,2,13-03-2016
Chonshu ex,Mai 2k2,0,mwc,A,B,m,2.1:1,0,2,2,13-03-2016
Mudman EX3,The mask of ero,1,mwc,t,B,m,1:3.4,0,2,2,13-03-2016
Sailor jupiter EX,Kanzaki yoh,0,mwc,t,B,m,1.7:1,0,2,2,13-03-2016
Donkey kong EX2,Dio S,1,mwc,t,B,m,1:14.7,0,2,2,13-03-2016
Another blood,Shaky jake,1,mwc,A,B,m,1:1.1,0,2,2,13-03-2016
Mukai EX3,Krang,0,mwc,A,A,m,1.4:1,0,2,2,13-03-2016
Hulk mvc2,Absolute_white_len,1,mwc,t,S,m,1:7.6,0,2,2,13-03-2016
Android 16 ai-barbatos,King 13,1,mwc,A,A,m,1.3:1,0,2,2,13-03-2016
Rock,Mordecai,0,mwc,A,B,m,6.2:1,0,2,2,13-03-2016
Donatello 0d,Evil ken ssf'2 plus EX3,0,mwc,A,B,m,64.6:1,0,2,2,13-03-2016
Kagami,Brazer,0,mwc,A,A,m,22.1:1,0,2,2,13-03-2016
Omni-psych chipp,Kongara,1,mwc,A,S,m,1:3.7,0,2,2,13-03-2016
A-heart,Legion,0,mwc,A,S,m,12:1,0,2,2,13-03-2016
Nagato yuki EX,Karma_0.85,0,mwc,A,A,m,1:3.4,0,2,2,13-03-2016
Kensuke kudou,Ryoko(fhd),1,mwc,A,S,m,1:2.1,0,2,2,13-03-2016
Anji,Charlotte ex,0,mwc,f,S,m,1.3:1,0,2,2,13-03-2016
Baby bonnie hood EX3,Aladdin,0,mwc,A,A,m,2.8:1,0,2,2,13-03-2016
Limiter cut broly,Bou ken,0,mwc,A,X,m,47.7:1,0,2,2,13-03-2016
Miles,Natalia glinka,0,mwc,A,A,m,1:1.9,0,2,2,13-03-2016
Kiriko,Archangel,1,mwc,A,B,m,1:9,0,2,2,13-03-2016
Trunks EX3,Yuuka kazami,0,mwc,A,A,m,1:2.4,0,2,2,13-03-2016
Medusa,Magma-dragoon,1,mwc,A,S,m,1:1.2,0,2,2,13-03-2016
Simple,Krizalid N,0,mwc,A,B,m,1:64.9,0,2,2,13-03-2016
Chaos hiryu,Satsuki shindou,0,mwc,A,S,m,9.6:1,0,2,2,13-03-2016
Cola,China kohaku,1,mwc,A,S,m,1:86.1,0,2,2,13-03-2016
Ryo fu,Last adult goku,0,mwc,A,B,m,1.7:1,0,2,2,13-03-2016
Animus,Veku,0,mwc,A,B,m,4.4:1,0,2,2,13-03-2016
Nega peach EX3,Beelzebub,1,mwc,A,S,m,1:1.6,0,2,2,13-03-2016
W.krauser,Tokiko,0,mwc,A,A,m,1.1:1,0,2,2,13-03-2016
Jin CVS TAG,Great dragonian,0,mwc,A,B,m,1:13.8,0,2,2,13-03-2016
Kimala the bouncer,Zoffy,1,mwc,f,A,t,1:1.5,0,2,2,13-03-2016
Eko,Zeldia 0D,1,mwc,A,A,t,2.3:1,0,2,2,13-03-2016
Geese ex xi,Guevara,0,mwc,t,A,t,2.5:1,0,2,2,13-03-2016
Donovan,Orc,0,mwc,A,A,t,5:1,0,2,2,13-03-2016
Bleyze,Lucario,1,mwc,t,A,t,1:3.3,0,2,2,13-03-2016
Faud EX3,Kagami ex,1,mwc,A,A,t,1:3.5,0,2,2,13-03-2016
Mohikan,Turn-x,1,mwc,A,A,t,1:5.8,0,2,2,13-03-2016
Zoffy,Zeldia 0D,1,mwc,f,A,t,5.3:1,0,2,2,13-03-2016
Geese ex xi,Donovan,1,mwc,f,A,t,1:1.4,0,2,2,13-03-2016
Lucario,Kagami ex,1,mwc,f,A,t,1:1.4,0,2,2,13-03-2016
Zeldia 0D,Donovan,1,mwc,t,A,t,1:4.1,0,2,2,13-03-2016
Filz-rout,Dan mk ii,1,mwc,A,A,m,37.3:1,0,2,2,13-03-2016
Sittara,Samwell han,0,mwc,A,S,m,1:7.5,0,2,2,13-03-2016
Kazama,Eko,1,mwc,f,A,m,2.6:1,0,2,2,13-03-2016
Honda tadakatsu,Wyler xi ver,0,mwc,A,A,m,1:1.3,0,2,2,13-03-2016
Ingrid,Donkey kong EX2,0,mwc,t,B,m,2.4:1,0,2,2,13-03-2016
Predator,Tengu man,1,mwc,A,B,m,1:14.2,0,2,2,13-03-2016
